,date,close,open,high,low,volume,change,time_series,1MA,5MA,12MA,20MA,26MA,60MA,datetime
185,2020年9月29日,332.37,333.87,334.73,331.63,51.53,-0.54,1601308800.0,332.37,335.58,341.2258333333333,342.36999999999995,339.80884615384616,352.44383333333343,2020-09-29
186,2020年9月30日,334.89,333.2,338.28,332.9,104.08,0.76,1601395200.0,334.89,336.092,342.4866666666667,342.6625,340.23846153846165,353.0305,2020-09-30
187,2020年10月1日,337.04,337.63,338.68,335.05,88.7,0.64,1601481600.0,337.04,337.26599999999996,343.52000000000004,342.251,340.8288461538462,353.599,2020-10-01
188,2020年10月2日,333.84,331.25,335.9,331.2,89.43,-0.95,1601568000.0,333.84,338.614,343.93416666666667,341.89799999999997,341.33346153846156,354.1845,2020-10-02
189,2020年10月5日,339.76,336.27,339.94,336.17,45.71,1.77,1601827200.0,339.76,341.216,344.7291666666667,341.533,342.1303846153847,354.8114999999999,2020-10-05
190,2020年10月6日,334.93,339.91,342.17,334.38,90.13,-1.42,1601913600.0,334.93,343.75000000000006,344.97666666666674,341.05499999999995,342.6796153846154,355.34866666666665,2020-10-06
191,2020年10月7日,340.76,338.11,341.6,338.11,57.0,1.74,1602000000.0,340.76,346.78999999999996,345.78333333333336,341.11,343.5157692307693,355.9978333333334,2020-10-07
192,2020年10月8日,343.78,342.84,343.84,341.89,45.24,0.89,1602086400.0,343.78,348.22400000000005,346.20166666666665,341.24899999999997,343.9946153846153,356.2561016949153,2020-10-08
193,2020年10月9日,346.85,345.56,347.35,344.89,59.53,0.89,1602172800.0,346.85,348.96799999999996,345.8358333333333,341.572,344.54538461538465,356.47120689655173,2020-10-09
194,2020年10月12日,352.43,349.53,354.01,349.08,80.39,1.61,1602432000.0,352.43,349.056,345.1166666666666,341.73749999999995,345.15,356.64,2020-10-12
195,2020年10月13日,350.13,352.34,352.34,349.1,73.26,-0.65,1602518400.0,350.13,346.972,342.9691666666666,341.84400000000005,345.4650000000001,356.7151785714286,2020-10-13
196,2020年10月14日,347.93,350.72,351.91,347.16,57.96,-0.63,1602604800.0,347.93,345.622,341.29,342.03950000000003,345.7015384615385,356.83490909090915,2020-10-14
